timestamp,bvp_values,eda_values,question,first_seen,submit,confidence,guess,guess_type,answer
1.74E+15,1.249373913,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,1.137057781,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,0.920370579,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,0.601832151,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,0.193434715,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,-0.284968138,0.017330086,-1,FALSE,FALSE,,,,
1.74E+15,-0.808300018,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-1.34936738,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-1.881900907,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-2.383103132,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-2.835430861,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-3.22749567,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-3.55411005,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-3.815621614,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.016746044,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.165132999,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.269893169,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.340270996,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.384596825,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.409592628,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.42002964,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.418719769,0.015280499,-1,FALSE,FALSE,,,,
1.74E+15,-4.406754494,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.38391304,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.349149227,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.301074982,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.238375187,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.160122871,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-4.065966606,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.956195831,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.831706047,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.693882942,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.54444313,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.385263205,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.218214035,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-3.04503274,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-2.867229223,0.015351665,-1,FALSE,FALSE,,,,
1.74E+15,-2.686039925,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-2.502423048,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-2.317087412,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-2.130540371,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.943150997,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.755211592,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.566992283,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.378782749,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.190918922,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-1.00379324,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-0.817852974,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-0.633586049,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-0.451503277,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-0.272115946,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,-0.09591639,0.01761475,-1,FALSE,FALSE,,,,
1.74E+15,0.076639175,0.01761475,-1,FALSE,FALSE,,,,
